user address,superior address,,,
0x9ebba8b4c74d81cdd2cb06a4e45a17fcf75ebfa4,0x1dd7edb3399286b9ed6c649ad16a1582c5f0179d,普通定级,否,正常
0x4b6f18c49cd43ed7d2776aa62d22abe1a9a31ddd,0x1dd7edb3399286b9ed6c649ad16a1582c5f0179d,普通定级,否,正常
0x1dd7edb3399286b9ed6c649ad16a1582c5f0179d,0x80298c0208c9c70ff0552735c568967a28171cb8,普通定级,否,正常
0x80298c0208c9c70ff0552735c568967a28171cb8,0x82a9af357bcd2b835698c3ba22693900ab7d4440,普通定级,否,正常
0xc7859d1121713a914c98aeab19f23a504f5ef5dd,0x82a9af357bcd2b835698c3ba22693900ab7d4440,普通定级,否,正常
0xcc15d821f907e73e4c5390238821f0e41b4550c2,0x82a9af357bcd2b835698c3ba22693900ab7d4440,普通定级,否,正常
0x82a9af357bcd2b835698c3ba22693900ab7d4440,0xd688f3b26d15b700bedc3387a17b038d96bccf09,普通定级,否,正常
0xaef7a1736f9128146cdfbf4029a95cb39f0ad504,0x7b7cbea2a396fce8f30dfd8c0f7c8d26152ca7a2,普通定级,否,正常
0xf47a87f524f5745d9cde848b8f24c61d611cd889,0xde9528a4885b34b652e06639a858d14cdc2bfba2,普通定级,是,正常
0x0f80720e5864cd355bb3c73018bf0240e38780ac,0x4338585fcd895d07109101d4440fb5b8c05e18a8,普通定级,是,正常
0xc96fb31eccbe959958ec6d634b8eaf7bfd4a95e3,0xf491a86146b6ee911ad9f01667b050aea690b37a,普通定级,是,正常
0xaea33a08d3fe8de37888432fe45cb6948266e680,0xc098a23ad47d6a5fde17a1b577ffc66369696a20,普通定级,否,正常
0x672a4ddfb6a034069bfbf48b30097444013cf62d,0x2a43f539736e6efba71f0ef7cd22759d3b644030,普通定级,否,正常
0x516b8a56a49848bf49d919d198b8c324d3c9fb01,0x76ef90fc60089749f6cd9462107bebba6d723c64,普通定级,否,正常
0x7e49ae625ac336447883809d24b687e145107320,0x37e6e568b93483849b5a6a20f9af7d5c08cc41f5,普通定级,否,正常
